Q= 5.83762e-32, q=5.66675e-32, err=8.54347e-34, tol=9.32393e-36, nrec=209
Q= 4.12782e-32, q=4.007e-32, err=6.04115e-34, tol=6.59301e-36, nrec=210
Q= 2.91881e-32, q=2.83338e-32, err=4.27174e-34, tol=4.66196e-36, nrec=211
Q= 2.06391e-32, q=2.0035e-32, err=3.02057e-34, tol=3.29651e-36, nrec=212
Q= 1.45941e-32, q=1.41669e-32, err=2.13587e-34, tol=2.33098e-36, nrec=213
Q= 1.03196e-32, q=1.00175e-32, err=1.51029e-34, tol=1.64825e-36, nrec=214
Q= 7.29703e-33, q=7.08344e-33, err=1.06793e-34, tol=1.16549e-36, nrec=215
Q= 5.15978e-33, q=5.00875e-33, err=7.55143e-35, tol=8.24127e-37, nrec=216
Q= 3.64852e-33, q=3.54172e-33, err=5.33967e-35, tol=5.82746e-37, nrec=217
Q= 2.57989e-33, q=2.50438e-33, err=3.77572e-35, tol=4.12063e-37, nrec=218
Q= 1.82426e-33, q=1.77086e-33, err=2.66983e-35, tol=2.91373e-37, nrec=219
Q= 1.28994e-33, q=1.25219e-33, err=1.88786e-35, tol=2.06032e-37, nrec=220
Q= 9.12129e-34, q=8.8543e-34, err=1.33492e-35, tol=1.45686e-37, nrec=221
Q= 6.44972e-34, q=6.26094e-34, err=9.43929e-36, tol=1.03016e-37, nrec=222
Q= 4.56064e-34, q=4.42715e-34, err=6.67459e-36, tol=7.28432e-38, nrec=223
Q= 3.22486e-34, q=3.13047e-34, err=4.71965e-36, tol=5.15079e-38, nrec=224
Q= 2.28032e-34, q=2.21358e-34, err=3.33729e-36, tol=3.64216e-38, nrec=225
Q= 1.61243e-34, q=1.56523e-34, err=2.35982e-36, tol=2.5754e-38, nrec=226
Q= 1.14016e-34, q=1.10679e-34, err=1.66865e-36, tol=1.82108e-38, nrec=227
Q= 8.06216e-35, q=7.82617e-35, err=1.17991e-36, tol=1.2877e-38, nrec=228
Q= 5.7008e-35, q=5.53394e-35, err=8.34323e-37, tol=9.1054e-39, nrec=229
Q= 4.03108e-35, q=3.91309e-35, err=5.89956e-37, tol=6.43849e-39, nrec=230
Q= 2.8504e-35, q=2.76697e-35, err=4.17162e-37, tol=4.5527e-39, nrec=231
Q= 2.01554e-35, q=1.95654e-35, err=2.94978e-37, tol=3.21925e-39, nrec=232
Q= 1.4252e-35, q=1.38349e-35, err=2.08581e-37, tol=2.27635e-39, nrec=233
Q= 1.00777e-35, q=9.78272e-36, err=1.47489e-37, tol=1.60962e-39, nrec=234
Q= 7.12601e-36, q=6.91743e-36, err=1.0429e-37, tol=1.13818e-39, nrec=235
Q= 5.03885e-36, q=4.89136e-36, err=7.37445e-38, tol=8.04811e-40, nrec=236
Q= 3.563e-36, q=3.45871e-36, err=5.21452e-38, tol=5.69088e-40, nrec=237
Q= 2.51942e-36, q=2.44568e-36, err=3.68722e-38, tol=4.02406e-40, nrec=238
Q= 1.7815e-36, q=1.72936e-36, err=2.60726e-38, tol=2.84544e-40, nrec=239
Q= 1.25971e-36, q=1.22284e-36, err=1.84361e-38, tol=2.01203e-40, nrec=240
Q= 8.90751e-37, q=8.64678e-37, err=1.30363e-38, tol=1.42272e-40, nrec=241
Q= 6.29856e-37, q=6.1142e-37, err=9.21806e-39, tol=1.00601e-40, nrec=242
Q= 4.45375e-37, q=4.32339e-37, err=6.51815e-39, tol=7.11359e-41, nrec=243
Q= 3.14928e-37, q=3.0571e-37, err=4.60903e-39, tol=5.03007e-41, nrec=244
Q= 2.22688e-37, q=2.1617e-37, err=3.25908e-39, tol=3.5568e-41, nrec=245
Q= 1.57464e-37, q=1.52855e-37, err=2.30451e-39, tol=2.51504e-41, nrec=246
Q= 1.11344e-37, q=1.08085e-37, err=1.62954e-39, tol=1.7784e-41, nrec=247
Q= 7.8732e-38, q=7.64275e-38, err=1.15226e-39, tol=1.25752e-41, nrec=248
Q= 5.56719e-38, q=5.40424e-38, err=8.14769e-40, tol=8.89199e-42, nrec=249
Q= 3.9366e-38, q=3.82137e-38, err=5.76129e-40, tol=6.28759e-42, nrec=250
Q= 2.7836e-38, q=2.70212e-38, err=4.07384e-40, tol=4.446e-42, nrec=251
Q= 1.9683e-38, q=1.91069e-38, err=2.88064e-40, tol=3.14379e-42, nrec=252
Q= 1.3918e-38, q=1.35106e-38, err=2.03692e-40, tol=2.223e-42, nrec=253
Q= 9.8415e-39, q=9.55343e-39, err=1.44032e-40, tol=1.5719e-42, nrec=254
Q= 6.95899e-39, q=6.7553e-39, err=1.01846e-40, tol=1.1115e-42, nrec=255
Q= 4.92075e-39, q=4.77672e-39, err=7.20161e-41, tol=7.85949e-43, nrec=256
Q= 3.4795e-39, q=3.37765e-39, err=5.09231e-41, tol=5.5575e-43, nrec=257
Q= 2.46037e-39, q=2.38836e-39, err=3.6008e-41, tol=3.92974e-43, nrec=258
Q= 1.73975e-39, q=1.68882e-39, err=2.54615e-41, tol=2.77875e-43, nrec=259
Q= 1.23019e-39, q=1.19418e-39, err=1.8004e-41, tol=1.96487e-43, nrec=260
Q= 8.69874e-40, q=8.44412e-40, err=1.27308e-41, tol=1.38937e-43, nrec=261
Q= 6.15094e-40, q=5.9709e-40, err=9.00201e-42, tol=9.82436e-44, nrec=262
Q= 4.34937e-40, q=4.22206e-40, err=6.36538e-42, tol=6.94687e-44, nrec=263
Q= 3.07547e-40, q=2.98545e-40, err=4.501e-42, tol=4.91218e-44, nrec=264
Q= 2.17468e-40, q=2.11103e-40, err=3.18269e-42, tol=3.47343e-44, nrec=265
Q= 1.53773e-40, q=1.49272e-40, err=2.2505e-42, tol=2.45609e-44, nrec=266
Q= 1.08734e-40, q=1.05552e-40, err=1.59135e-42, tol=1.73672e-44, nrec=267
Q= 7.68867e-41, q=7.46362e-41, err=1.12525e-42, tol=1.22804e-44, nrec=268
Q= 5.43671e-41, q=5.27758e-41, err=7.95673e-43, tol=8.68359e-45, nrec=269
Q= 3.84434e-41, q=3.73181e-41, err=5.62626e-43, tol=6.14022e-45, nrec=270
Q= 2.71836e-41, q=2.63879e-41, err=3.97836e-43, tol=4.34179e-45, nrec=271
Q= 1.92217e-41, q=1.86591e-41, err=2.81313e-43, tol=3.07011e-45, nrec=272
Q= 1.35918e-41, q=1.31939e-41, err=1.98918e-43, tol=2.1709e-45, nrec=273
Q= 9.61084e-42, q=9.32953e-42, err=1.40656e-43, tol=1.53506e-45, nrec=274
Q= 6.79589e-42, q=6.59697e-42, err=9.94591e-44, tol=1.08545e-45, nrec=275
Q= 4.80542e-42, q=4.66476e-42, err=7.03282e-44, tol=7.67528e-46, nrec=276
